MUN,NOM_MUN,POBTOT,TVIVHAB,VIVPAR_HAB,VIVPARH_CV,VPH_AGUADV,VPH_DRENAJ,VPH_C_ELEC,VPH_INTER,VPH_PC,VPH_CEL,VPH_AUTOM,GRAPROES,PROM_OCUP,p_aguadv,p_drenaj,p_c_elec,p_inter,p_pc,p_cel,p_autom
001,Amacuzac,17598,4992,4794,4974,4842,4746,4940,1919,979,4056,1545,8.52,3.53,0.9734620024125452,0.9541616405307599,0.9931644551668677,0.38580619219943707,0.19682348210695616,0.8154402895054282,0.3106151990349819
002,Atlatlahucan,25232,7060,6574,7015,5884,6840,6937,2882,2051,6320,3019,9.34,3.57,0.8387740555951533,0.9750534568781183,0.9888809693513899,0.41083392729864576,0.2923734853884533,0.9009265858873842,0.43036350677120455
003,Axochiapan,39174,9978,9946,9918,9213,9559,9848,3304,1881,8487,3071,8.07,3.93,0.9289171203871749,0.9638031861262352,0.9929421254285138,0.33313167977414804,0.1896551724137931,0.8557168784029038,0.3096390401290583
004,Ayala,89834,25051,24852,24975,23487,24106,24765,9905,6568,21878,8334,8.69,3.57,0.9404204204204204,0.9652052052052053,0.9915915915915916,0.3965965965965966,0.262982982982983,0.875995995995996,0.33369369369369367
005,Coatlán del Río,10520,2996,2980,2990,2967,2846,2968,837,439,2238,1001,7.82,3.23,0.9923076923076923,0.9518394648829431,0.9926421404682274,0.279933110367893,0.1468227424749164,0.748494983277592,0.3347826086956522
006,Cuautla,187118,52396,51114,52199,50832,51862,52024,30286,20584,47584,21279,10.04,3.55,0.973811758845955,0.9935439376233262,0.9966474453533593,0.5802026858752083,0.3943370562654457,0.9115883446043027,0.40765148757639036
007,Cuernavaca,378476,114742,106134,114442,113201,113963,114232,83635,62412,106004,60176,11.39,3.28,0.9891560790618829,0.9958144737072054,0.9981650093497143,0.7308068716030828,0.5453592212649202,0.926268328061376,0.525820939864735
008,Emiliano Zapata,107053,31160,27499,31066,30693,30838,30963,19106,12737,28893,13871,10.12,3.43,0.9879933045773515,0.9926607867121612,0.9966844782076869,0.6150131977081054,0.40999806862808214,0.930052147041782,0.4465009978754909
009,Huitzilac,24515,6704,6412,6678,5394,6191,6604,3036,2042,5932,3265,9.79,3.66,0.8077268643306379,0.9270739742437856,0.9889188379754418,0.4546271338724169,0.305780173704702,0.8882899071578317,0.4889188379754417
010,Jantetelco,18402,5135,5107,5097,4579,4965,5041,1935,1211,4428,1876,8.9,3.58,0.8983715911320385,0.974102413184226,0.9890131449872474,0.379635079458505,0.23759073965077496,0.8687463213655091,0.3680596429272121
011,Jiutepec,215357,61620,56875,61449,60593,61181,61292,41139,27896,56715,28955,10.52,3.49,0.9860697488974597,0.9956386597015411,0.9974450357206789,0.6694820094712689,0.4539699588276457,0.9229605038324464,0.4712037624696903
012,Jojutla,57682,16963,16823,16930,16540,16735,16836,9257,5651,14962,6763,9.65,3.38,0.9769639692852924,0.9884819846426461,0.9944477259303013,0.5467808623744832,0.33378617838157115,0.88375664500886,0.39946839929119904
013,Jonacatepec de Leandro Valle,16694,4488,4470,4482,4353,4367,4458,1522,1196,3863,1724,8.98,3.7,0.9712182061579652,0.9743418116912093,0.9946452476572959,0.3395805443998215,0.2668451584114235,0.8618920124944222,0.3846497099509148
014,Mazatepec,9653,2902,2881,2884,2859,2833,2867,1315,761,2346,1139,9.06,3.32,0.9913314840499307,0.9823162274618585,0.9941054091539528,0.45596393897364773,0.26386962552011095,0.8134535367545076,0.3949375866851595
015,Miacatlán,15802,4591,4534,4573,4481,4482,4543,2132,1130,3735,1769,8.77,3.36,0.9798819155915154,0.9801005904220425,0.9934397550841898,0.46621473868357755,0.24710255849551716,0.8167504920183687,0.38683577520227425
016,Ocuituco,19219,4991,4971,4974,4820,4699,4931,1432,758,4103,1753,8.59,3.85,0.9690390028146361,0.9447125050261359,0.9913550462404503,0.28789706473663046,0.1523924406915963,0.8248894250100522,0.35243264977885
017,Puente de Ixtla,40018,11307,10815,11265,10956,11011,11183,5321,3149,9563,3916,9.13,3.53,0.9725699067909455,0.9774522858411008,0.9927208166888593,0.4723479804704838,0.2795383932534399,0.8489125610297381,0.34762538837106083
018,Temixco,122263,34720,33541,34631,33756,34246,34467,17726,10804,31238,12482,9.19,3.52,0.9747336201669025,0.988882792873437,0.9952643585227109,0.511853541624556,0.3119748202477549,0.9020241979729144,0.36042851780196933
019,Tepalcingo,28122,7788,7775,7765,7316,7259,7691,2290,1553,6621,2476,8.4,3.61,0.9421764327108821,0.934835801674179,0.9904700579523503,0.29491307147456536,0.2,0.8526722472633612,0.31886670959433355
020,Tepoztlán,54987,15585,15013,15537,12870,14811,15413,9165,5484,13723,6752,9.94,3.52,0.8283452403938985,0.9532728325931648,0.9920190512969042,0.5898822166441398,0.35296389264336747,0.8832464439724529,0.4345755293814765
