MUN,NOM_MUN,perfil,IM_2020,GM_2020
1,Amacuzac,bajo,55.5938630597967,Bajo
2,Atlatlahucan,intermedio,54.9390370623568,Bajo
3,Axochiapan,bajo,54.3530576543147,Medio
4,Ayala,bajo,55.5629529988975,Bajo
5,Coatlán del Río,bajo,55.1114422959897,Bajo
6,Cuautla,alto,57.9580385580829,Muy bajo
7,Cuernavaca,alto,59.8665562109064,Muy bajo
8,Emiliano Zapata,alto,58.7152993650159,Muy bajo
9,Huitzilac,intermedio,55.9324009093389,Bajo
10,Jantetelco,intermedio,55.7685412410388,Bajo
11,Jiutepec,alto,59.2033181473043,Muy bajo
12,Jojutla,alto,57.6666492097488,Muy bajo
13,Jonacatepec de Leandro Valle,bajo,56.1381289761248,Bajo
14,Mazatepec,bajo,55.9424011163551,Bajo
15,Miacatlán,bajo,56.5617138008141,Muy bajo
16,Ocuituco,bajo,55.272686546171,Bajo
17,Puente de Ixtla,bajo,56.7295573982754,Muy bajo
18,Temixco,alto,57.6801965323474,Muy bajo
19,Tepalcingo,bajo,55.0676136184833,Bajo
20,Tepoztlán,intermedio,55.8013241636197,Bajo
21,Tetecala,bajo,55.9889657770181,Bajo
22,Tetela del Volcán,bajo,56.417741353284,Bajo
23,Tlalnepantla,intermedio,52.7432378319901,Medio
24,Tlaltizapán de Zapata,bajo,56.4150412871134,Bajo
25,Tlaquiltenango,bajo,56.3191714903408,Bajo
26,Tlayacapan,intermedio,55.389973766087,Bajo
27,Totolapan,intermedio,52.9232765906559,Medio
28,Xochitepec,alto,57.0851818212047,Muy bajo
29,Yautepec,alto,57.0586872662098,Muy bajo
30,Yecapixtla,bajo,55.8864974298262,Bajo
31,Zacatepec,alto,58.8472052044298,Muy bajo
32,Zacualpan de Amilpas,bajo,57.0924123849299,Muy bajo
33,Temoac,bajo,55.5609322725122,Bajo
34,Coatetelco,bajo,53.3693711847824,Medio
35,Xoxocotla,bajo,54.0726502137528,Medio
36,Hueyapan,bajo,55.4327259116483,Bajo
