MUN,NOM_MUN,POBTOT,cluster,perfil,p_aguadv,p_drenaj,p_c_elec,p_inter,p_cel,p_autom,GRAPROES,PROM_OCUP
1,Acambay de Ruíz Castañeda,67872,1,bajo,0.8960359012715033,0.7898279730740464,0.973994591795639,0.1710488464415166,0.7702663828318279,0.3623496921926241,8.3,3.9
2,Acolman,171507,0,alto,0.9031047122731088,0.9884732588437928,0.9977697301594312,0.499514198648589,0.9093759660822328,0.4043633794108554,9.82,3.65
3,Aculco,49266,1,bajo,0.928565965583174,0.80282982791587,0.9751434034416826,0.1640535372848948,0.8217208413001912,0.4541491395793499,8.02,3.76
4,Almoloya de Alquisiras,15333,2,intermedio,0.9584229390681004,0.896774193548387,0.986857825567503,0.2241338112305854,0.8456391875746715,0.4757467144563919,8.14,3.66
5,Almoloya de Juárez,174587,2,intermedio,0.9255185492473628,0.8734858361977006,0.9872703567618822,0.263292639563826,0.8010193196633875,0.3637785942870689,8.68,4.03
6,Almoloya del Río,12694,0,alto,0.9986287281453547,0.9928008227631128,0.9965718203633872,0.5371957490572506,0.8666438121357559,0.4631470689064107,10.04,4.34
7,Amanalco,23675,1,bajo,0.9489207447684956,0.890591530729939,0.9762728620860108,0.1392321634536167,0.7116493656286044,0.2641291810841983,7.75,3.89
8,Amatepec,25244,2,intermedio,0.9177370471929572,0.8960889017174195,0.9835474094385914,0.1659691153124549,0.834319526627219,0.3781209409727233,7.42,3.64
9,Amecameca,53441,2,intermedio,0.9875716305723004,0.9820644489097268,0.995088189327975,0.4081268140209868,0.844831435588301,0.3321425913522363,10.01,3.97
10,Apaxco,31898,0,alto,0.9793535701118348,0.984760968415878,0.9969276145999756,0.3825734300110606,0.8530170824628241,0.467125476219737,9.46,3.9
11,Atenco,75489,2,intermedio,0.9059056381726758,0.9795656360329518,0.995774045148176,0.4566705894939553,0.9043543382903604,0.3558895902428586,9.56,4.03
12,Atizapán,12984,2,intermedio,0.9968387776606956,0.9922725676150334,0.9936775553213908,0.5184404636459431,0.8373726729891113,0.4604847207586933,9.5,4.55
13,Atizapán de Zaragoza,523674,0,alto,0.9963922706728882,0.9952473823993396,0.9965719915065264,0.729566739664388,0.92334573628963,0.560143244160737,11.06,3.48
14,Atlacomulco,109384,2,intermedio,0.9607941874685274,0.9406517516725416,0.9897849075606072,0.3865189554708294,0.8326019710812171,0.4601467520322279,9.76,3.92
15,Atlautla,31900,2,intermedio,0.9225323894750902,0.9563242954454388,0.9887805529584612,0.212368104714839,0.79938560170963,0.3054628021904634,8.87,4.25
16,Axapusco,29128,2,intermedio,0.9765907915157784,0.9671495085359544,0.9954733574754268,0.336652871184687,0.8448008277289187,0.4483962752198654,8.9,3.75
